"","year","ID_game","numberGame","ID_team","isB2B","isB2BFirst","isB2BSecond","homeAway","name","countDaysRest","countDaysNextGame","outcomeGame","isWin","fieldgoal_made","fieldgoal_attempts","fieldgoal_percent","fieldgoal3_made","fieldgoal3_attempts","fieldgoal3_percent","freethrow_percent","fieldgoal2_made","fieldgoal2_attempts","pctFG2","minutes","freethrow_made","freethrow_attempts","off_reb","def_reb","total_reb","assists","steals","blocks","turnovers","personalfouls","points","plusminus","ind_Win","ind_SecondB2B","ind_overtime","offensive_rating","defensive_rating","RAPTOR_offensive","RAPTOR_defensive","RAPTOR_net"
"155",2018,21700078,6,1610612738,FALSE,FALSE,FALSE,"A","BOS",1,1,"W",TRUE,34,81,0.42,6,23,0.260869565217391,0.846,28,58,0.482758620689655,240,22,26,11,30,41,15,11,5,12,14,96,6,1,0,0,107.6,103.9,-1,4.7,3.7
"156",2018,21700078,5,1610612748,FALSE,FALSE,FALSE,"H","MIA",2,1,"L",FALSE,34,79,0.43,7,31,0.225806451612903,0.938,27,48,0.5625,240,15,16,6,34,40,17,6,9,19,23,90,-6,0,0,0,106.8,106.3,-1.8,2.3,0.5
"157",2018,21700079,6,1610612760,TRUE,FALSE,TRUE,"A","OKC",0,2,"W",TRUE,39,88,0.443,13,34,0.382352941176471,0.714,26,54,0.481481481481481,240,10,14,11,41,52,28,16,8,12,17,101,32,1,1,0,110.7,107.2,2.1,1.4,3.5
"158",2018,21700082,6,1610612762,FALSE,FALSE,FALSE,"H","UTA",2,1,"W",TRUE,37,79,0.468,13,31,0.419354838709677,0.692,24,48,0.5,240,9,13,14,35,49,18,9,5,23,20,96,15,1,0,0,108.4,103.9,-0.2,4.7,4.5
"159",2018,21700079,5,1610612741,FALSE,FALSE,FALSE,"H","CHI",1,3,"L",FALSE,22,78,0.282,10,37,0.27027027027027,0.75,12,41,0.292682926829268,240,15,20,12,35,47,16,9,5,20,16,69,-32,0,0,0,103.8,110.9,-4.9,-2.2,-7.1
"160",2018,21700080,6,1610612763,FALSE,FALSE,FALSE,"H","MEM",1,1,"W",TRUE,40,85,0.471,14,33,0.424242424242424,0.75,26,52,0.5,240,9,12,6,36,42,26,10,6,9,20,103,14,1,0,0,104.5,111,-4.1,-2.4,-6.5
"161",2018,21700077,6,1610612740,FALSE,FALSE,FALSE,"H","NOP",1,1,"W",TRUE,49,95,0.516,13,33,0.393939393939394,0.75,36,62,0.580645161290323,240,12,16,10,37,47,33,10,4,11,20,123,22,1,0,0,109.6,108.3,1,0.3,1.3
"162",2018,21700083,6,1610612757,FALSE,FALSE,FALSE,"H","POR",1,1,"W",TRUE,40,91,0.44,11,26,0.423076923076923,0.821,29,65,0.446153846153846,240,23,28,12,41,53,27,8,7,15,26,114,7,1,0,0,109.1,106.4,0.4,2.2,2.7
"163",2018,21700082,6,1610612747,TRUE,FALSE,TRUE,"A","LAL",0,2,"L",FALSE,31,81,0.383,5,22,0.227272727272727,0.7,26,59,0.440677966101695,240,14,20,14,25,39,17,12,4,16,20,81,-15,0,1,0,106.5,108,-2.1,0.6,-1.5
"164",2018,21700083,6,1610612756,FALSE,TRUE,FALSE,"A","PHX",2,2,"L",FALSE,37,87,0.425,9,26,0.346153846153846,0.8,28,61,0.459016393442623,240,24,30,12,34,46,21,12,7,17,23,107,-7,0,0,0,103.5,112.8,-5.1,-4.2,-9.3
