"","year","game_ID","home_numberGame","home_ID_team","home_isB2B","home_isB2BFirst","home_isB2BSecond","home_name","home_countDaysRest","home_countDaysNextGame","home_outcomeGame","home_isWin","home_fieldgoal_made","home_fieldgoal_attempts","home_fieldgoal_percent","home_fieldgoal3_made","home_fieldgoal3_attempts","home_fieldgoal3_percent","home_freethrow_percent","home_fieldgoal2_made","home_fieldgoal2_attempts","home_pctFG2","minutes","home_freethrow_made","home_freethrow_attempts","home_off_reb","home_def_reb","home_total_reb","home_assists","home_steals","home_blocks","home_turnovers","home_personalfouls","home_points","home_plusminus","home_ind_Win","home_ind_SecondB2B","home_ind_overtime","home_offensive_rating","home_defensive_rating","home_RAPTOR_offensive","home_RAPTOR_defensive","home_RAPTOR_net","away_numberGame","away_ID_team","away_isB2B","away_isB2BFirst","away_isB2BSecond","away_name","away_countDaysRest","away_countDaysNextGame","away_outcomeGame","away_isWin","away_fieldgoal_made","away_fieldgoal_attempts","away_fieldgoal_percent","away_fieldgoal3_made","away_fieldgoal3_attempts","away_fieldgoal3_percent","away_freethrow_percent","away_fieldgoal2_made","away_fieldgoal2_attempts","away_pctFG2","away_freethrow_made","away_freethrow_attempts","away_off_reb","away_def_reb","away_total_reb","away_assists","away_steals","away_blocks","away_turnovers","away_personalfouls","away_points","away_plusminus","away_ind_Win","away_ind_SecondB2B","away_ind_overtime","away_offensive_rating","away_defensive_rating","away_RAPTOR_offensive","away_RAPTOR_defensive","away_RAPTOR_net"
"26",2018,21700021,2,1610612749,TRUE,FALSE,FALSE,"MIL",1,0,"L",FALSE,38,82,0.463,11,35,0.314285714285714,0.833,27,47,0.574468085106383,240,10,12,8,22,30,23,9,2,15,17,97,-19,0,0,0,109.8,110.1,1.2,-1.5,-0.3,2,1610612739,TRUE,FALSE,FALSE,"CLE",2,0,"W",TRUE,44,81,0.543,11,26,0.423076923076923,1,33,55,0.6,17,17,9,35,44,25,8,3,18,11,116,19,1,0,0,112.9,111.9,4.2,-3.3,1
"27",2018,21700037,2,1610612746,FALSE,FALSE,FALSE,"LAC",1,2,"W",TRUE,48,88,0.545,12,26,0.461538461538462,0.733,36,62,0.580645161290323,240,22,30,10,42,52,26,12,2,12,32,130,42,1,0,0,110.3,110.2,1.7,-1.6,0,3,1610612756,TRUE,FALSE,TRUE,"PHX",0,1,"L",FALSE,27,71,0.38,6,24,0.25,0.737,21,47,0.446808510638298,28,38,4,32,36,19,8,3,20,27,88,-42,0,1,0,103.5,112.8,-5.1,-4.2,-9.3
"28",2018,21700035,2,1610612743,FALSE,FALSE,FALSE,"DEN",2,1,"W",TRUE,37,85,0.435,10,30,0.333333333333333,0.6,27,55,0.490909090909091,240,12,20,18,40,58,25,7,2,16,19,96,17,1,0,0,112.5,111,3.9,-2.3,1.5,3,1610612758,TRUE,FALSE,TRUE,"SAC",0,1,"L",FALSE,31,85,0.365,8,22,0.363636363636364,0.692,23,63,0.365079365079365,9,13,12,27,39,15,6,3,14,21,79,-17,0,1,0,103.7,111.1,-4.9,-2.5,-7.3
"29",2018,21700028,3,1610612739,TRUE,TRUE,TRUE,"CLE",0,2,"L",FALSE,33,86,0.384,7,25,0.28,0.741,26,61,0.426229508196721,240,20,27,11,33,44,15,4,7,16,14,93,-21,0,1,0,112.9,111.9,4.2,-3.3,1,3,1610612753,TRUE,FALSE,TRUE,"ORL",0,2,"W",TRUE,40,90,0.444,17,35,0.485714285714286,0.85,23,55,0.418181818181818,17,20,12,38,50,28,7,6,12,28,114,21,1,1,0,105.2,110.1,-3.4,-1.5,-4.9
"30",2018,21700033,2,1610612763,FALSE,FALSE,FALSE,"MEM",2,1,"W",TRUE,36,77,0.468,10,27,0.37037037037037,0.784,26,50,0.52,240,29,37,6,34,40,20,8,4,14,25,111,10,1,0,0,104.5,111,-4.1,-2.4,-6.5,3,1610612744,TRUE,FALSE,TRUE,"GSW",0,1,"L",FALSE,33,84,0.393,12,38,0.315789473684211,0.852,21,46,0.456521739130435,23,27,12,34,46,20,10,7,17,28,101,-10,0,1,0,113.6,107.6,5,1,6
"31",2018,21700034,3,1610612749,TRUE,FALSE,TRUE,"MIL",0,1,"W",TRUE,42,80,0.525,7,18,0.388888888888889,0.733,35,62,0.564516129032258,240,22,30,7,28,35,22,9,8,14,23,113,3,1,1,0,109.8,110.1,1.2,-1.5,-0.3,3,1610612757,TRUE,FALSE,TRUE,"POR",0,2,"L",FALSE,34,81,0.42,11,28,0.392857142857143,0.886,23,53,0.433962264150943,31,35,13,29,42,18,10,6,16,22,110,-3,0,1,0,109.1,106.4,0.4,2.2,2.7
"32",2018,21700032,3,1610612745,FALSE,FALSE,FALSE,"HOU",2,1,"W",TRUE,39,82,0.476,11,47,0.234042553191489,0.818,28,35,0.8,240,18,22,8,46,54,17,12,4,15,24,107,16,1,0,0,114.7,106.1,6.1,2.5,8.7,3,1610612742,TRUE,FALSE,TRUE,"DAL",0,1,"L",FALSE,31,84,0.369,13,31,0.419354838709677,0.762,18,53,0.339622641509434,16,21,8,33,41,19,6,0,14,19,91,-16,0,1,0,106.3,109.5,-2.3,-0.9,-3.2
"33",2018,21700030,2,1610612752,FALSE,FALSE,FALSE,"NYK",1,2,"L",FALSE,37,81,0.457,8,30,0.266666666666667,0.806,29,51,0.568627450980392,240,25,31,12,27,39,20,6,2,14,21,107,-4,0,0,0,107.1,110.7,-1.6,-2.1,-3.6,3,1610612765,TRUE,FALSE,TRUE,"DET",0,1,"W",TRUE,44,91,0.484,9,30,0.3,0.933,35,61,0.573770491803279,14,15,15,28,43,21,5,2,13,25,111,4,1,1,0,107.2,107.3,-1.5,1.3,-0.2
"34",2018,21700027,2,1610612761,FALSE,FALSE,FALSE,"TOR",1,1,"W",TRUE,42,89,0.472,13,44,0.295454545454545,0.838,29,45,0.644444444444444,240,31,37,8,43,51,23,5,10,13,29,128,34,1,0,0,113.8,105.9,5.2,2.8,7.9,3,1610612755,TRUE,FALSE,TRUE,"PHI",0,1,"L",FALSE,32,82,0.39,8,24,0.333333333333333,0.611,24,58,0.413793103448276,22,36,8,33,41,18,5,4,20,26,94,-34,0,1,0,109.5,105,0.9,3.6,4.5
"35",2018,21700029,2,1610612748,FALSE,FALSE,FALSE,"MIA",2,1,"W",TRUE,45,87,0.517,14,34,0.411764705882353,0.571,31,53,0.584905660377358,240,8,14,6,39,45,24,6,11,14,19,112,4,1,0,0,106.8,106.3,-1.8,2.3,0.5,3,1610612754,TRUE,TRUE,TRUE,"IND",0,2,"L",FALSE,43,96,0.448,7,19,0.368421052631579,0.714,36,77,0.467532467532468,15,21,13,32,45,18,9,4,10,18,108,-4,0,1,0,109.5,108.1,0.9,0.5,1.4
